Date,Open,High,Low,Close,Volume
2007-11-06 00:00:00+07:00,75,78,68,75,1274430000
2007-11-07 00:00:00+07:00,75,79,74,77,349330000
2007-11-08 00:00:00+07:00,76,76,73,76,66270000
2007-11-09 00:00:00+07:00,73,74,73,73,40075000
2007-11-12 00:00:00+07:00,69,73,68,69,113285000
2007-11-13 00:00:00+07:00,66,69,66,66,26735000
2007-11-14 00:00:00+07:00,65,67,64,65,39535000
2007-11-15 00:00:00+07:00,66,66,63,66,98030000
2007-11-16 00:00:00+07:00,65,65,64,65,15405000
2007-11-19 00:00:00+07:00,65,65,64,64,33740000
2007-11-20 00:00:00+07:00,64,66,63,66,58235000
2007-11-21 00:00:00+07:00,64,65,63,65,19880000
2007-11-22 00:00:00+07:00,65,65,64,65,15240000
2007-11-23 00:00:00+07:00,66,66,65,66,20905000
2007-11-26 00:00:00+07:00,66,66,65,65,50720000
2007-11-27 00:00:00+07:00,65,65,63,65,30050000
2007-11-28 00:00:00+07:00,65,66,65,65,36685000
2007-11-29 00:00:00+07:00,65,66,65,65,29600000
2007-11-30 00:00:00+07:00,65,65,65,65,52910000
2007-12-03 00:00:00+07:00,65,65,65,65,120385000
2007-12-04 00:00:00+07:00,65,65,64,65,13835000
2007-12-05 00:00:00+07:00,66,66,66,66,33230000
2007-12-06 00:00:00+07:00,66,66,65,66,27300000
2007-12-07 00:00:00+07:00,65,66,65,65,40775000
2007-12-10 00:00:00+07:00,65,65,63,65,11670000
2007-12-11 00:00:00+07:00,64,64,64,64,835000
2007-12-12 00:00:00+07:00,64,65,63,64,25870000
2007-12-13 00:00:00+07:00,64,65,64,64,26410000
2007-12-14 00:00:00+07:00,64,65,64,65,10850000
2007-12-17 00:00:00+07:00,63,64,63,63,35125000
2007-12-18 00:00:00+07:00,63,63,62,63,14550000
2007-12-19 00:00:00+07:00,63,63,62,63,8235000
2007-12-26 00:00:00+07:00,63,63,62,63,18010000
2007-12-27 00:00:00+07:00,63,64,63,63,31540000
2007-12-28 00:00:00+07:00,63,66,63,66,50870000
2008-01-02 00:00:00+07:00,64,66,63,64,28925000
2008-01-03 00:00:00+07:00,64,64,63,64,27500000
2008-01-04 00:00:00+07:00,64,64,63,64,3515000
2008-01-07 00:00:00+07:00,64,64,63,64,6735000
2008-01-08 00:00:00+07:00,63,63,63,63,41365000
2008-01-09 00:00:00+07:00,64,64,63,64,95000000
2008-01-14 00:00:00+07:00,64,64,63,64,8425000
2008-01-15 00:00:00+07:00,64,64,63,64,22560000
2008-01-16 00:00:00+07:00,64,64,63,64,945000
2008-01-17 00:00:00+07:00,64,64,63,64,12375000
2008-01-18 00:00:00+07:00,64,64,63,64,3780000
2008-01-21 00:00:00+07:00,63,65,63,63,5580000
2008-01-22 00:00:00+07:00,63,64,57,63,14870000
2008-01-23 00:00:00+07:00,63,63,61,63,6455000
2008-01-24 00:00:00+07:00,63,63,63,63,2510000
2008-01-25 00:00:00+07:00,63,63,63,63,255000
2008-01-28 00:00:00+07:00,62,62,62,62,250000
2008-01-29 00:00:00+07:00,64,64,62,64,17990000
2008-01-30 00:00:00+07:00,64,65,64,64,2285000
2008-01-31 00:00:00+07:00,64,64,64,64,3090000
2008-02-01 00:00:00+07:00,66,66,64,66,4075000
2008-02-04 00:00:00+07:00,66,66,66,66,10130000
2008-02-05 00:00:00+07:00,69,69,66,69,57615000
2008-02-06 00:00:00+07:00,69,68,67,68,5265000
2008-02-11 00:00:00+07:00,68,68,67,68,14465000
2008-02-12 00:00:00+07:00,70,70,69,70,146785000
2008-02-13 00:00:00+07:00,69,69,69,69,12650000
2008-02-14 00:00:00+07:00,72,72,69,72,32420000
2008-02-15 00:00:00+07:00,70,73,70,73,32185000
2008-02-18 00:00:00+07:00,73,73,73,73,73580000
2008-02-19 00:00:00+07:00,73,74,73,73,23690000
2008-02-20 00:00:00+07:00,76,76,73,76,84290000
2008-02-21 00:00:00+07:00,76,78,76,76,116265000
2008-02-22 00:00:00+07:00,78,78,76,78,36320000
2008-02-25 00:00:00+07:00,76,77,76,76,32895000
2008-02-26 00:00:00+07:00,76,76,76,76,56110000
2008-02-27 00:00:00+07:00,76,77,76,76,44230000
2008-02-28 00:00:00+07:00,76,77,76,76,68585000
2008-02-29 00:00:00+07:00,76,76,76,76,30120000
2008-03-03 00:00:00+07:00,76,76,75,76,45785000
